year,month,sale
2012,1,1.5916194219999842E7
2012,2,1.8116104069999773E7
2012,3,1.8139545749999736E7
2012,4,2.0004896969999693E7
2012,5,2.219352123999943E7
2012,6,2.1858903069999516E7
2012,7,2.0697363779999547E7
2012,8,2.153128283999926E7
2012,9,1.8188453149999645E7
2012,10,3.271395392999893E7
2012,11,1.9778514919999458E7
2012,12,2.606457962999892E7
2013,1,1.783885011999956E7
2013,2,1.825860569999954E7
2013,3,1.8221543539999492E7
2013,4,2.2162040689999234E7
2013,5,2.2409324579999115E7
2013,6,1.973462109999938E7
2013,7,2.263764658999905E7
2013,8,2.1552819629999314E7
2013,9,1.9126692819999505E7
2013,10,3.214581143999914E7
2013,11,1.7800949639999785E7
2013,12,2.6214886969999276E7
2014,1,2.0045932619999714E7
2014,2,1.9183282259999696E7
2014,3,1.932890610999966E7
2014,4,2.263917229999948E7
2014,5,2.0966264199999638E7
2014,6,2.4429677969999444E7
2014,7,2.1947352739999525E7
2014,8,2.117088708000001E7
2014,9,2.343555255999996E7
2014,10,2.654240808999993E7
2014,11,2.0272759740000065E7
2014,12,3.0625542419999786E7
2015,1,1.8498508310000084E7
2015,2,2.1224352409999993E7
2015,3,2.32623697099999E7
2015,4,2.2857263329999965E7
2015,5,2.243737095999998E7
2015,6,2.7089683129999846E7
2015,7,2.2414165499999937E7
2015,8,2.211639754999993E7
2015,9,2.411336016999992E7
2015,10,2.591324806999984E7
2015,11,2.3718715059999824E7
2015,12,3.0683137910003442E7
2016,1,1.90180553600016E7
2016,2,2.280184248000077E7
2016,3,2.3706446340001695E7
2016,4,2.2667024610001635E7
2016,5,2.581917616000081E7
2016,6,2.733866999000367E7
2016,7,2.198826562000174E7
2016,8,2.447145897000039E7
2016,9,2.5318593870001987E7
2016,10,2.731120991999924E7
2016,11,2.6432734840000674E7
2016,12,3.2574086689997625E7
2017,1,2.006837286000252E7
2017,2,2.308628925000188E7
2017,3,2.5019491260001197E7
2017,4,2.3176630270001564E7
2017,5,2.822748587000056E7
2017,6,2.8626061959999226E7
2017,7,2.5200614710000407E7
2017,8,2.7647610170001905E7
2017,9,2.4463707549999733E7
2017,10,3.077942209999816E7
2017,11,2.6848928019999143E7
2017,12,3.138543078999655E7
2018,1,2.26068069400013E7
2018,2,2.28611764200007E7
2018,3,2.4873041229999922E7
2018,4,2.621474669000263E7
2018,5,3.0180818389998157E7
2018,6,2.8574027259998165E7
2018,7,2.619436803000141E7
2018,8,3.0507640509998396E7
2018,9,2.3804290690001223E7
2018,10,3.460925340999786E7
2018,11,2.8764343449998394E7
2018,12,3.5026330049998626E7
2019,1,2.346678258999978E7
2019,2,2.4641910489999242E7
2019,3,2.498272836000147E7
2019,4,2.7788607849999174E7
2019,5,3.2756773269995913E7
2019,6,2.8877030960001096E7
2019,7,3.096739968999755E7
2019,8,2.842426328999917E7
2019,9,2.8078111229998726E7
2019,10,3.444821334999686E7
2019,11,3.0270164510001987E7
2019,12,3.4518356039997436E7
2020,1,2.479449825999883E7
2020,2,2.5720303899999805E7
2020,3,3.121073310999912E7
2020,4,3.1987264680003457E7
2020,5,3.2081114179998737E7
2020,6,3.600784299999757E7
2020,7,3.427265420000208E7
2020,8,3.372240811999978E7
2020,9,3.6780839349997446E7
2020,10,3.746519910000039E7
2020,11,3.182379614000055E7
2020,12,4.079647761999965E7
2021,1,2.8665659859997742E7
2021,2,2.961780594999593E7
2021,3,3.6654828859995246E7
2021,4,3.4734921829995595E7
2021,5,3.365955493999646E7
2021,6,3.889092924999568E7
2021,7,3.517646761999625E7
2021,8,3.650179873999636E7
2021,9,3.58370610199951E7
2021,10,3.808576235999946E7
2021,11,3.800797790999662E7
2021,12,4.229076706000029E7
2022,1,2.7597708299998514E7
2022,2,2.9474100930000488E7
2022,3,3.022587454999969E7
2022,4,3.478176158999614E7
2022,5,3.594816734000015E7
2022,6,3.861415241000423E7
2022,7,3.379289313999549E7
2022,8,4.137406823999672E7
2022,9,3.662269360999666E7
2022,10,3.96886325799985E7
